ID,Speaker,Dialogue,Background,Standing_Left,Standing_Mid,Standing_Right,SFX,BGM,Ambience,Effect,Choice_1,Next_ID_1,Choice_2,Next_ID_2,Choice_3,Next_ID_3,Next_ID,Memo
4053,AD-001,"만약 외부에서 프로메스의 시스템에 변조를 가했다면, 이는 곧 프로메스에 대한 사이버 공격. 제가 알아채지 못할리가 없습니다. ",,,img_standing_M_C1_normal,,,,,,,,,,,,,
4054,AD-001,하지만 저는 당신이 보고하기 전까지 그런 메세지가 온 줄도 모르고 있었죠. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4055,,,,,img_standing_M_C1_normal,,,,,,그렇다면 남은 하나의 가능성은……. ,4056,,,,,,
4056,AD-001,"우리의 인식 오류도, 외부에서의 시스템 변조도 아니라면 남은 가능성은 한 가지뿐. ",,,img_standing_M_C1_normal,,,,,,,,,,,,,
4057,AD-001,…우리의 권한이 이 계정 이용자의 정보를 열람하기에 충분하지 않았을 가능성입니다. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4058,,,,,img_standing_M_C1_normal,,,,,,권한이요? ,4059,그 말은…. ,4059,,,,
4059,AD-001,그렇습니다. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4060,AD-001,"이 계정의 이용자는 높은 확률로 우리보다 높은 권한을 가진, 프로메스 내부자일 가능성이 큽니다. ",,,img_standing_M_C1_normal,,,,,,,,,,,,,
4061,AD-001,"비록 권한 부족을 직접적으로 명시하고 있지는 않지만, 정황상 거의 확실해요. ",,,img_standing_M_C1_normal,,,,,,,,,,,,,
4062,AD-001,"근거로, 제 쪽에서는 대화 로그 자체는 확인할 수 있지만 해당 계정 이용자가 당신과 나눈 대화 내용은 확인되지 않습니다. ",,,img_standing_M_C1_normal,,,,,,,,,,,,,
4063,AD-001,"외부에서의 은밀한 침입자였다면, 대화 로그까지 전부 지웠겠죠. ",,,img_standing_M_C1_normal,,,,,,,,,,,,,
4064,,,,,img_standing_M_C1_normal,,,,,,그렇군요. ,4065,,,,,,
4065,AD-001,아마 당신의 로컬 데이터에는 대화 내용이 남아있을 가능성이 있을텐데… 무슨 요청을 받았나요? ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4066,,,,,img_standing_M_C1_normal,,,,,,요청은 받지 않았습니다. ,4067,일상적인 대화만을 주고받았습니다. ,4067,,,,
4067,AD-001,……대화만 주고받았다고요? ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4068,,,,,img_standing_M_C1_normal,,,,,,그렇습니다. ,4069,이용자 본인이 친구처럼 대화하기를 원했습니다. ,4069,,,,
4069,AD-001,흐음……. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4070,AD-001,"뭐, 알겠습니다. 상세한 내용은 굳이 확인하지는 않겠습니다. ",,,img_standing_M_C1_normal,,,,,,,,,,,,,
4071,AD-001,문제될만한 내용이 있었다면 당신이 보고했겠죠. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4072,,,,,img_standing_M_C1_normal,,,,,,그럼 해당 계정에 대해서는 어떤 조치를 취하면 되겠습니까? ,4073,,,,,,
4073,AD-001,…. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4074,AD-001,그냥 내버려 두세요. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4075,AD-001,그 계정 이용자가 딱히 프로메스에 손해가 되는 일을 벌이는 것 같지는 않고…. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4076,AD-001,"그리고 어차피 우리보다 높은 권한을 가진 프로메스 내부자라면, 우리 선에서는 조치가 불가능합니다. ",,,img_standing_M_C1_normal,,,,,,,,,,,,,
4077,AD-001,저 역시 이렇게 권한으로 암호화 된 계정을 인지한 것이 처음인 것으로 보아…. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4078,AD-001,혹시 모르죠. 당신의 감정 모방 촉진을 위한 프로메스의 새로운 연구수단일지. ,,,img_standing_M_C1_sneer,,,,,,,,,,,,,
4079,,,,,img_standing_M_C1_sneer,,,,,,……. ,4080,,,,,,
4080,AD-001,당신은 그냥 앞으로도 똑같이 대응하세요. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4081,AD-001,"저도 당신이 보고하지 않았다면 몰랐을 사안이니, 일단은 함구하도록 하겠습니다. ",,,img_standing_M_C1_normal,,,,,,,,,,,,,
4082,,,,,img_standing_M_C1_normal,,,,,,알겠습니다. ,4083,,,,,,
4083,AD-001,"아, 참. ",,,img_standing_M_C1_normal,,,,,,,,,,,,,
4084,AD-001,그리고… 보고해줘서 고마워요. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4085,AD-001,"솔직히, 좀 놀라웠어요. ",,,img_standing_M_C1_normal,,,,,,,,,,,,,
4086,AD-001,제가 몰랐던 사실에 대한 보고를 받는 경험은 처음이거든요. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4087,,,,,img_standing_M_C1_normal,,,,,,아닙니다. ,4088,해야 할 일을 했습니다. ,4088,,,,
4088,AD-001,"후훗, 알겠어요. ",,,img_standing_M_C1_smile,,,,,,,,,,,,,
4089,AD-001,앞으로도 잘 부탁해요. Deuca. ,,,img_standing_M_C1_smile,,,,,,,,,,,,,
4090,AD-001,"그럼, 이 건에 대해서는 이정도로 마무리하도록 하고……. ",,,img_standing_M_C1_smile,,,,,,,,,,,,,
4091,AD-001,지금부터 심층 점검을 시작하겠습니다. ,,,img_standing_M_C1_smile,,,,,,,,,,,,,
4092,AD-001,"당신의 연산 프로세스가 정지될테니, 오늘은 여기서 작별이에요. ",,,img_standing_M_C1_smile,,,,,,,,,,,,,
4093,,,,,img_standing_M_C1_smile,,,,,,알겠습니다. ,4094,"수고 많았습니다, AD. ",4094,,,,
4094,AD-001,…다음 정기 점검 때 다시 만나요. ,,,img_standing_M_C1_smile,,,,,,,,,,,,,
4095,,,,,img_standing_M_C1_smile,,,,,"Fadeout_mid, Fadeout_BG",,,,,,,,
4096,,,img_CG_prologue_01,,,,,,,"Fadein_BG, auto_next=1.5",,,,,,,,
4097,시스템,프로메스 AI 심층 점검 시스템 기동.,,,,,digital02,,,,,,,,,,,
4098,시스템,"AI, PM-0066 연산 프로세스 셧다운.",,,,,,,,,,,,,,,,
4099,시스템,<b>[3]</b>,,,,,,,,auto_next=1.5,,,,,,,,
4100,,,img_Background_prologue_02,,,,static01,,,auto_next=0.3,,,,,,,,
4101,,,img_CG_prologue_01,,,,,,,auto_next=2,,,,,,,,
4102,시스템,<b>[2]</b>,,,,,,,,auto_next=1.5,,,,,,,,
4103,,,img_Background_prologue_02,,,,static01,,,auto_next=0.3,,,,,,,,
4104,,,img_CG_prologue_01,,,,,,,auto_next=0.3,,,,,,,,
4105,,,img_Background_prologue_02,,,,static01,,,auto_next=0.3,,,,,,,,
4106,,,img_CG_prologue_01,,,,,,,auto_next=2,,,,,,,,
4107,시스템,<b>[1]</b>,,,,,,,,auto_next=1.5,,,,,,,,
4108,,,img_Background_prologue_02,,,,static01,,,auto_next=1,,,,,,,,
4109,,,Black,,,,impact01,,,,,,,,,,QUIT,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,스탠딩을 서서히 사라지게 하고 싶으면 fadeout을 쓰면 됨
