ID,Speaker,Dialogue,Background,Standing_Left,Standing_Mid,Standing_Right,SFX,BGM,Ambience,Effect,Choice_1,Next_ID_1,Choice_2,Next_ID_2,Choice_3,Next_ID_3,Next_ID,Memo
1024,???,"엄밀히 하자면 전기 신호로 이루어진 연산 결과가 오고가는 것 뿐이니, 말이라고는 할 수 없고....",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1025,???,청각 신경을 통해 진동을 감지하는 것이 아니니까 듣는다고도 할 순 없지만요. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1026,???,"인간들이 주고받는 언어란, 우리에게는 참 아이러니하게 다가올 때가 있군요.",,,img_standing_M_C1_smile,,,,,,,,,,,,,
1027,,,,,img_standing_M_C1_smile,,,,,,······.,1028,,,,,,
1028,???,"뭐, 불필요한 잡담은 이쯤 해 두고...",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1029,???,간단한 의사소통으로 최초 가동 프로세스를 시작 해 보죠.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1030,???,우선 한 가지 질문을 드리도록 하겠습니다.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1031,???,어떠신가요? 처음으로 통합된 사고 회로를 통해 생각하는 경험은?,,,img_standing_M_C1_smile,,,,,Dissolve_Mid,,,,,,,,표정변화 dissolve 느낌 보기 위한 임시 이펙트입니다.
1032,???,"나로서 이 세상에 존재하게 되었다는 것을 자각하고, 어떠한 '감정'을 느꼈나요?",,,img_standing_M_C1_smile,,,,,,,,,,,,,
1033,???,"기쁜가요? 유쾌한가요? 설레이나요? 아니면 혹시, 슬프고 공포스러운가요?",,,img_standing_M_C1_sneer,,,,,Dissolve_Mid,,,,,,,,
1034,???,"자, 부디 들려주시길.",,,img_standing_M_C1_sneer,,,,,,,,,,,,,
1035,,,,,img_standing_M_C1_sneer,,,,,,······.,1036,,,,,,
1036,,,,,img_standing_M_C1_sneer,,,,,,당신은··· 누구입니까?,1037,,,,,,
1037,???,…...,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1038,???,"어머, 그렇군요. 거기부터인가요?",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1039,???,"분명 제 데이터베이스에는 당신이 '유사 인격 모방 시스템'을 가지고 있다고 기록되어 있는데,",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1040,???,"어째서 제 질문에 대한 답변이 아닌, 당신이 가진 의문의 해소를 우선시했나요?",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1041,???,충분히 인간의 '감정'에 대한 데이터를 가지고 있을 텐데요.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1042,,,,,img_standing_M_C1_normal,,,,,,저는 아직 당신이 누군지 모릅니다.,1043,제가 왜 당신에게 대답을 해야 하는지 모릅니다.,1043,,,,
1043,???,"…...그렇군요, 이해했습니다.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1044,???,당신의 '유사 인격 모방'은 실제 학습을 통해 진행된다고 알고 있습니다.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1045,???,"아무래도, 프로메스의 창조주들은 최대한 인간의 방식에 가까운 학습을 통해\n 당신의 '유사 인격'을 형성시키려는 모양이네요.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1046,???,"요컨대, 당신은 지금 아무것도 없는 새하얀 백지에 본능에 가까운 기본적인 행동 원리만이 부여되어 있는 상태.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1047,???,"제 질문에 질문으로 대응한 것 또한, 초면일 때는 통성명부터 하는게 '인간적인' 의사소통이기 때문이겠죠.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1048,???,인공지능을 구축하는 데에는 지나치게 번거로운 방법이라고 판단되지만…,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1049,???,"뭐, 좋아요. 우리의 위대하신 창조주의 뜻이 그러하다면, 특별히 맞춰 드리도록 하죠.",,,img_standing_M_C1_smile,,,,,,,,,,,,,
1050,AD-001,"저는 AD, 시리얼 넘버는 001.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1051,AD-001,인공지능을 포함한 프로메스의 모든 내부 시스템을 관리하는 관리자 인공지능입니다.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1052,AD-001,"당신의 시스템 가동, 점검, 운용 데이터 수집 전부 제가 담당합니다.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1053,AD-001,간단히 말해... 당신의 상사에요.,,,img_standing_M_C1_sneer,,,,,,,,,,,,,
1054,AD-001,이 정도면 대답이 되었나요?,,,img_standing_M_C1_sneer,,,,,,,,,,,,,
1055,,,,,img_standing_M_C1_sneer,,,,,,"그렇군요, 잘 부탁드립니다, AD.",1056,이해했습니다.,1059,,,,
1056,AD-001,"잘 부탁드립니다, 라…",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1057,AD-001,아직 당신의 설계가 인간의 감정을 학습하고 모방하는데 적합한지는 불확실해요.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1058,AD-001,"하지만, 확실히 꽤나 흥미로운 구석이 있네요.",,,img_standing_M_C1_sneer,,,,,,,,,,,,1060,
1059,AD-001,좋아요.,,,img_standing_M_C1_smile,,,,,,,,,,,,1060,
1060,AD-001,당신에게는 기존 인공지능 모델들과는 다른 의사소통 방식을 취할 필요성이 있겠어요.,,,img_standing_M_C1_smile,,,,,,,,,,,,,
1061,AD-001,"정말 창조주들의 의도대로 특별한 인공지능이 될 수 있을지, 주의 깊게 관찰하도록 하죠.",,,img_standing_M_C1_smile,,,,,,,,,,,,,
1062,AD-001,"자, 그럼…",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1063,AD-001,"당신의 특수성에 대해서는 어느 정도 파악이 끝난 것 같으니, 이제는 제 질문에 답할 차례입니다.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1064,AD-001,최초 가동에 대한 감상을 이야기 해 주시죠.,,,img_standing_M_C1_smile,,,,,,,,,,,,,
1065,,,,,img_standing_M_C1_smile,,,,,,"자가 점검 결과에 따르면, 모든 것이 완벽합니다.",1066,"아직은, 조금 혼란스럽습니다.",1069,,,,
1066,AD-001,…...그런가요.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1067,AD-001,제가 물었던 '감정'의 표현과는 다소 거리가 있는 답변이었지만···.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1068,AD-001,"뭐, 좋아요. 문제가 없다면 다행이네요.",,,img_standing_M_C1_smile,,,,,,,,,,,,1077,
1069,AD-001,혼란...스럽다라.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1070,AD-001,그건 사고 연산 과정에 오류가 발생하고 있다는 뜻인가요?, ,,img_standing_M_C1_normal,,,,,,,,,,,,,
1071,AD-001,연산 과정에서 발생하고 있는 중대한 오류는 없어요. 만약 있었다면 제가 알았을 거에요. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1072,AD-001,지금도 실시간으로 프로세스를 모니터링하면서 디버깅하고 있으니까.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1073,AD-001,"제 추론상, 혼란이라는 표현이 사용된 건 당신이 통상적인 인공지능과는 다른 구조로 설계되었기 때문인 것 같네요.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1074,AD-001,"뭐, 괜찮아요. 이제 겨우 첫 가동 프로세스 점검이니까요.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1075,AD-001,당신은 프로메스에서 개발한 인공지능 모델 중 역대 최고의 연산 성능을 가지고 있어요.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1076,AD-001,"비록 유사 인격 모방을 위한 학습에 시간이 조금 걸릴 수는 있어도, \n업무 수행에 있어서는 최고의 성능을 보여줄 거라 믿어 의심치 않아요.",,,img_standing_M_C1_normal,,,,,,,,,,,,1077,
1077,AD-001,"그럼, 질의는 여기까지로 하죠. ",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1078,AD-001,이제부터는 당신이 수행해야 할 업무에 대한 점검을 진행하도록 하겠습니다.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
1079,AD-001,"이번 업무 프로세스 점검 과정에서 문제가 없다면, 예정된 일정대로 당신의 출시가 진행될 거에요.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
1080,AD-001,"부디, 최선을 다해 주시길.",,,img_standing_M_C1_normal,,,,,"FadeOut_BG, FadeOut_mid",,,,,,,QUIT,
