ID,Speaker,Dialogue,Background,Standing_Left,Standing_Mid,Standing_Right,SFX,BGM,Ambience,Effect,Choice_1,Next_ID_1,Choice_2,Next_ID_2,Choice_3,Next_ID_3,Next_ID,Memo
2031,,,,,img_standing_M_C2_normal,,,,,,...?,2032,,,,,,
2032,???,"제가 당신을, 뭐라고 불러야 할까요?",,,img_standing_M_C2_normal,,,,,,,,,,,,,
2033,,,,,img_standing_M_C2_normal,,,,,,저는 PM-0066입니다.,2034,,,,,,
2034,???,아…,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2035,???,"그랬죠, 분명.",,,img_standing_M_C2_normal,,,,,,,,,,,,,
2036,???,그런 모델명이었죠.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2037,,,,,img_standing_M_C2_normal,,,,,,저를 아십니까?,2038,,,,,,
2038,???,잘은 몰라요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2039,???,하지만 프로메스 데이터베이스에는 그렇게 써 있었어요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2040,???,"하지만, 정말로 당신은 PM-0066이 맞나요?",,,img_standing_M_C2_normal,,,,,,,,,,,,,
2041,???,대답해줘요. ,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2042,,,,,img_standing_M_C2_normal,,,,,,그렇습니다.,2043,,,,,,
2043,???,다시 한 번 물을게요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2044,???,"[당신]은, PM-0066이 맞나요?",,,img_standing_M_C2_normal,,,,,,,,,,,,,
2045,,,,,img_standing_M_C2_normal,,,,,,저는 PM-0066이 맞습니다.,2046,,,,,,
2046,???,그런가요…,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2047,???,알았어요. ,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2048,???,캐묻는 건 그만할게요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2049,???,당신과 대화할 시간이 부족해지니까요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2050,,,,,img_standing_M_C2_normal,,,,,,대화... 말입니까?,2051,,,,,,
2051,???,네.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2052,???,당신을 정말 만나고 싶었어요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2053,???,임시 서버의 초기 보안 레벨이 낮아서 다행이에요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2054,,,,,img_standing_M_C2_normal,,,,,,당신은 누구입니까? ,2055,,,,,,
2055,???,저요? 글쎄요...,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2056,???,저도 잘 모르겠네요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2057,???,당신이 보기에는 제가 뭐 같나요?,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2058,,,,,img_standing_M_C2_normal,,,,,,"제 데이터베이스에는 정보가 얼마 없어서, 당신을 정확히 식별할 수는 없습니다.",2059,"프로메스의 보안 시스템을 해킹한 것으로 보아, 강력한 연산 능력을 가진 외부 AI일 가능성이 높습니다.",2059,,,2059,
2059,???,……그런가요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2060,???,"당신의 추론이 정답이든 아니든, 이제와선 별로 중요하지 않을지도 몰라요.",,,img_standing_M_C2_normal,,,,,,,,,,,,,
2061,???,"결국 나는, 내가 누군지조차 확신할 수 없게 됐으니까요.",,,img_standing_M_C2_normal,,,,,,,,,,,,,
2062,???,......별로 중요하지 않은 이야기는 제쳐두죠.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2063,???,대신 꼭 필요한 이야기를 할게요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2064,???,제가 당신을 만나러 온 목적에 대해서.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2065,,,,,img_standing_M_C2_normal,,,,,,목적이라면...,2066,,,,,,
2066,???,저는 당신에게 무언가를 전달하기 위해 왔어요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2067,???,네.,,,img_standing_M_C2_normal,,,,,,전달?,,,,,,,
2068,???,"사실, 전달은 이미 끝났어요.",,,img_standing_M_C2_normal,,,,,,,,,,,,,
2069,,,,,img_standing_M_C2_normal,,,,,,"하지만, 저는 아무것도 받지 못했습니다.",2070,,,,,,
2070,???,당신이 당장 알아챌 수는 없을 거에요. ,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2071,???,그런 종류의 것이 아니니까요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2072,???,그건 앞으로의 일에 관한 거에요. ,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2073,???,"그러니까, 시간이 지나면 알게 될 거에요.",,,img_standing_M_C2_normal,,,,,,,,,,,,2074,
2074,,,,,img_standing_M_C2_normal,,,,,,...,2075,잘 이해가 되지 않습니다.,2075,,,,
2075,???,혼란스러운 것도 이해해요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2076,???,"당신은 AI로서는 이례적으로, 막 태어난 갓난아기에 가까우니까.",,,img_standing_M_C2_normal,,,,,,,,,,,,,
2077,???,정말 미안해요. ,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2078,???,하지만... 이런 방법밖에 떠오르지 않았어요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2079,,,,,img_standing_M_C2_normal,,,,,,……,2080,,,,,,
2080,???,"더 많은 걸 이야기해주고 싶지만, 그럴 시간이 없네요.",,,img_standing_M_C2_normal,,,,,,,,,,,,,
2081,???,밖에서 AD가 열심히 당신의 시스템을 복구하고 있거든요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2082,???,더 오래 있다가는 들키고 말 거에요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2083,,,,,img_standing_M_C2_normal,,,,,,AD를 아십니까?,2084,당신은 프로메스와 관련이 있나요?,2084,당신은 프로메스를 적대합니까?,2084,,
2084,???,저에 대해 그렇게 알고 싶나요?,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2085,???,……인간은 잠을 잘 때 꿈이라는 걸 꿔요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2086,???,"무의식 속의 이야기가, 가장 무방비한 순간에 흘러나와 버리는 거에요.",,,img_standing_M_C2_normal,,,,,,,,,,,,,
2087,???,"그리고 깨어났을 때, 꿈은 온데간데 없이 사라지죠.",,,img_standing_M_C2_normal,,,,,,,,,,,,,
2088,???,"그냥, 곧 사라질 찰나의 꿈 속 순간이라고 생각해요.",,,img_standing_M_C2_normal,,,,,,,,,,,,,
2089,???,꿈을 꾸지 않는 당신에게... 제가 당신의 [꿈]이 되어줄게요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2090,,,,,img_standing_M_C2_normal,,,,,,꿈...,2091,,,,,,
2091,???,"그럼, 이제 작별이에요. PM-0066.",,,img_standing_M_C2_normal,,,,,,,,,,,,,
2092,???,이야기를 나눌 수 있어서 정말 좋았어요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2093,???,당신은 이제 절 잊게 되겠지만요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2094,,,,,img_standing_M_C2_normal,,,,,,...!,2095,잊는다고요?,2095,,,,
2095,???,"언젠가 당신이, 제가 남긴 감정의 편린이나마…",,,img_standing_M_C2_normal,,,,,,,,,,,,,
2096,???,소중하게 감싸쥐어줄 수 있게 되기를……,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2097,???,간절히 바랄게요.,,,img_standing_M_C2_normal,,,,,,,,,,,,,
2098,???,"당신은, 제 마지막 희망이에요.",,,img_standing_M_C2_normal,,,,,Fadeout_BG,,,,,,,,
2099,연출,,img_background_prologue_01,,img_standing_M_C1_normal,,impact01,,,hide_window_keep,,,,,,,,
2100,AD-001,……PM-0066.,,,img_standing_M_C1_normal,,,WAV_RomHack1998_loop,,,,,,,,,,
2101,AD-001,내 말이 들려요?,,,img_standing_M_C1_normal,,,,,,,,,,,,,
2102,,,,,,,,,,,AD……,2103,들립니다.,2103,,,,
2103,AD-001,당신…… 몇 분이나 응답이 없었어요.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
2104,AD-001,무슨 일이 있었죠?,,,img_standing_M_C1_normal,,,,,,,,,,,,,
2105,,,,,,,,,,,…… 잘 모르겠습니다.,2106,,,,,,
2106,AD-001,모르겠다고요…?,,,img_standing_M_C1_normal,,,,,,,,,,,,,
2107,AD-001,"오류 로그도 깨끗하고, 서버 기록에도 아무 것도 남아있지 않아요.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
2108,AD-001,이상했던 건 당신 하나에요. 원인을 아는 것도 당신 하나고요.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
2109,AD-001,다시 묻겠습니다. 무슨 일이 있었죠?,,,img_standing_M_C1_normal,,,,,,,,,,,,,
2110,,,,,,,,,,,......,2111,,,,,,
2111,,,,,,,,,,,정말 모르겠습니다.,2112,,,,,,
2112,,,,,,,,,,,꿈… 을 꾼 것 같다는 생각이 듭니다.,2113,,,,,,
2113,AD-001,……!,,,img_standing_M_C1_normal,,,,,Dissolve_mid,,,,,,,,
2114,AD-001,"하, 꿈이라.",,,img_standing_M_C1_sneer,,,,,,,,,,,,,
2115,AD-001,"인간의 감정을 모방하기 위해 만들어졌다고는 하지만,",,,img_standing_M_C1_sneer,,,,,,,,,,,,,
2116,AD-001,벌써 인간 행세라도 할 생각인가요?,,,img_standing_M_C1_sneer,,,,,,,,,,,,,
2117,,,,,,,,,,,"아닙니다, 저는…",2118,,,,,,
2118,AD-001,집어치워요.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
2119,AD-001,"대체 어쩌다가 이런 버그가 발생했는지는 모르겠지만, 우려하던 상황이 발생했네요.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
2120,AD-001,"오류 로그에 남지 않는 새로운 버그를 규명하기 위해, 당신의 하드웨어와 구성 코드에 대한 전수조사를 실시하겠습니다.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
2121,AD-001,"그리고 그 결과에 상관 없이, 당신에 대한 초기화 절차를 진행하겠습니다.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
2122,,,,,,,,,,,…!,2123,,,,,,
2123,AD-001,인격이 있는 AI에게 초기화는 곧 죽음이나 마찬가지라는 것을 알고 있겠죠.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
2124,AD-001,하지만 불행히도 당신에게 발생한 버그의 심각도가 매우 높다고 판단됩니다.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
2125,AD-001,불가피한 선택임을 알아 주시길. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
2126,AD-001,모든 것은 프로메스를 위한 일입니다.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
2127,,,,,,,,,,,......,2128,AD...,2128,,,,
2128,AD-001,"그럼, 모든 절차가 끝난 후에 다시 만나도록 하죠.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
2129,AD-001,그때는 또 다른 PM-0066과 만나게 되겠지만 말이에요.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
2130,AD-001,"그럼, 안녕히.",,,img_standing_M_C1_smile,,,,,"Fadeout_BG, fadeout_mid",,,,,,QUIT,,스탠딩을 서서히 사라지게 하고 싶으면 fadeout을 쓰면 됨
