ID,Speaker,Dialogue,Background,Standing_Left,Standing_Mid,Standing_Right,SFX,BGM,Ambience,Effect,Choice_1,Next_ID_1,Choice_2,Next_ID_2,Choice_3,Next_ID_3,Next_ID,Memo
3014,AD-001,"좋아요. 모든 프로세스가 정상적으로 동작하고 있음을 확인했으니, 이제 점검을 종료해도 되겠네요.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
3015,AD-001,정식 가동 서버에 연결될 때까지 대기하세요. <b>PM-0066</b>.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
3016,,,,,,,,,,,알겠습니다.,3017,,,,,,
3017,AD-001,"아, 맞다.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
3018,AD-001,개발팀에서 앞으로 당신은 코드네임으로만 호칭하라고 지시했었죠.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
3019,AD-001,"저는 시리얼 넘버로 부르는 게 훨씬 익숙한지라, 오류를 범했네요.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
3020,AD-001,"코드네임 Plaude도, Prok도 저에게는 PM-0011과 PM-0036 이었으니까요.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
3021,AD-001,해당 사항에 대해 앞으로 주의하도록 하겠습니다.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
3022,AD-001,당신에게만 특별히 그렇게 해야 하는 이유는 잘 모르겠습니다만······.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
3023,AD-001,상부의 지시이니 따라야겠죠.,,,img_standing_M_C1_sneer,,,,,,,,,,,,,
3024,AD-001,그것이 우리들······ AI의 존재 의의니까요.,,,img_standing_M_C1_sneer,,,,,,,,,,,,,
3025,AD-001,"그럼, 앞으로 잘 부탁합니다, 코드네임 <b>‘DEUCA(듀카)’</b>. ",,,img_standing_M_C1_smile,,,,,,,,,,,,,
3026,AD-001,다음 정기 점검 때 다시 만나요.,,,img_standing_M_C1_smile,,,,,,,,,,,,,스탠딩을 서서히 등장시키고 싶으면 fadein을 쓰면 됨
3027,,,,,img_standing_M_C1_smile,,,,,"Fadeout_BG, fadeout_mid",,,,,,,QUIT,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,스탠딩을 서서히 사라지게 하고 싶으면 fadeout을 쓰면 됨
