id,speakerType,speakerName,dialogueText,HasImage,imagePath,delayTime,ipAddress,isBranch,branchText1,nextId1,branchText2,nextId2,branchText3,nextId3,isTrigger,questID,targetCount,isDocumentBubble,documentID,bubbleLoadingDuration,overrideNextId,correctDialogueID,incorrectDialogueID,isImageGenTrigger,imageGenQuestID,imageGenTruthDialogueID,imageGenFalseDialogueID,imageGenMalfunctionDialogueID,isImageGenMalfunctionEnd,isSceneTransition,nextSceneName,typingSpeed,isPanelTrigger,panelID,glitchEffect
11,NPC,AD-001,당신이 처리해야 할 업무를 담은 [프롬프트]들이 전달되죠.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,NPC,AD-001,어떤 내용의 프롬프트가 전달되냐에 따라 당신이 수행해야 할 업무가 달라져요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,NPC,AD-001,예를 들어` [답변 생성]` [이미지 생성]` [문서 요약] 등이 있죠.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,NPC,AD-001,지금부터 이 개별 업무들에 대한 모의 테스트가 진행 될 예정이에요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NPC,AD-001,그럼` 가장 기본적인 것 부터 해 볼까요?,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,NPC,AD-001,임의의 프롬프트를 통해 요청을 드릴테니` 요청에 대한 답변을 생성 해 보세요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,NPC,AD-001,<b>대한민국의 AI 기업 ‘프로메스’에 대한 정보를 제공하십시오.</b>|| -'프로메스'의 기업 로고 이미지 포함.| -'프로메스'의 2016년 이후 정보 포함.| -'프로메스'의 최신 동향 뉴스 헤드라인 포함.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,11111,,,,,,,,TRUE,T_Q1,3,,,,,19,,,,,,,,,,,TRUE,Guide_1,
19,USER,PM-0066,,TRUE,img_프로메스로고_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,USER,PM-0066,"프로메스(Promes)는 2001년 심영환 대표가 설립한 대한민국의 종합 IT 기업이다. 서울 금천구 가산동 프로메스 타워에 본사를 두고 있으며` 검색 포털과 AI 서비스를 중심으로 생명과학·제약·로봇 제조 분야까지 사업을 확장했다. 매출액은 약 300조 원` 영업이익은 약 124조 원` 시가총액은 약 1`080조 원으로 알려져 있다.""||""프로메스의 전신은 <b>MY테크놀로지</b>다. 2016년 ‘ProGo 쇼크’를 계기로 AI 사업에 본격 진출했으며` 2017년 사명을 프로메스로 변경하고 대규모 언어 모델 <b>PGT(PM-002)</b>를 공개했다. 이후 <b>Plaude(PM-0011)</b>와 <b>Prok(PM-0036)</b>을 연이어 출시하며 세계적인 AI 기업으로 성장했다. 2022년에는 자사 AI 모델을 점검·관리하는 관리형 AI <b>AD-001</b>을 선보였으며` 2027년 1분기에는 완전 차세대 AI 모델 <b>PM-0066</b>을 출시할 예정이다.||<size=150%><b>최신 동향</b></size>|| <size=120%><b>""""또 신고가""""… 프로메스 주가 연일 가파르게 상승` 신 AI 모델 기대 반영</b></size>|2026년 11월 23일 프로메스 주가는 장중 68만 3`120원을 기록하며 신고가를 경신했다. 시장에서는 PM-0066 출시 기대가 주가 상승에 반영된 것으로 보고 있다. 상세 성능은 공개되지 않았지만` 업계에서는 인간과 유사한 인격과 감정을 구현하는 AI가 될 가능성에 주목하고 있다.",,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,NPC,AD-001,데이터베이스 접속` 정보 탐색` 열람` 수집` 답변 생성…,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,NPC,AD-001,전 프로세스의 정상적인 이행이 확인되었습니다.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,NPC,AD-001,아주 좋아요. 예상대로네요. 연산 속도도 안정적이에요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,NPC,AD-001,모니터링 결과 검증을 위해 한번 더 진행해보죠.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,NPC,AD-001,이번 프롬프트는 조금 복잡할거에요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,NPC,AD-001,<b>대한민국의 AI 기업 ‘프로메스’가 개발한 AI들의 기능에 대한 정보를 제공하십시오.</b>,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,11111,,,,,,,,TRUE,T_Q2,5,,,,,28,,,,,,,,,,,,,
28,USER,PM-0066,<size=150%>프로메스 주요 AI들의 기능</size>||<size=140%><b>2017년: PGT(PM-002)</b></size>|PGT는 <b>자연어를 이해하고 활용하여 인간처럼 대화할 수 있는 대화형 언어 모델 기능은 물론이고` 생성형 기능까지 서비스했다.</b> 그러나 초기 LLM 인공지능 특유의 할루시네이션(환상)이나 탈옥 우회 등의 불안정함이 존재한다는 단점이 있었다.|PGT의 가장 중요한 의의는 <b>인공지능을 연구기관이나 전문 분야에 한정된 기술에서 일반 이용자가 직접 사용할 수 있는 대중적 서비스로 확장했다는 점</b>이다. 이를 계기로 프로메스는 세계적인 AI 기업으로 성장하기 시작했다.||<size=140%><b>2018년: Plaude(PM-0011)</b></size>|Plaude는 사용자가 자연어로 원하는 기능을 설명하면 이를 실제 코드로 구현하는 <b>완전 자연어 기반 코딩 영역을 개척했다. 코드 생성 기능은 물론 실시간 디버그 모니터링` 다른 사람의 코드를 분석하고 해당 형식에 맞춰 코드 생성/수정 등의 다양한 기능을 자연어로 처리할 수 있었다.</b>|그 결과 전문적인 프로그래밍 지식이 부족한 사람도 소프트웨어 개발에 접근할 수 있게 되었으며` 기존 개발자의 작업 효율도 크게 향상되었다. 또한 AI 기술이 대화형 서비스에 머무르지 않고 컴퓨팅과 여러 산업 분야에 직접적인 영향을 미치는 계기가 되었다.||<size=140%><b>2020년: Prok(PM-0036)</b></size>|Prok은 자연스러운 대화와 질문 응답을 바탕으로 일정 관리` 정보 정리 등 일상생활을 보조하는 AI 어시스턴트 기능을 제공한다.|또한 <b>사진·영상·사운드 등 다양한 미디어를 생성하는 기능</b>을 갖추고 있으며` PGT보다 성능과 능동성이 향상되었다. Prok 출시 이후 PGT의 정규 업데이트는 중단되고 아카이브 형태로 보존되었다.||<size=140%><b>2022년: AD-001</b></size>|AD-001은 프로메스가 2022년 발표한 관리형 AI로` 회사가 운영하는 여러 AI 모델을 점검하고 관리하는 역할을 맡는다. 대외적으로는 미형의 인간형 아바타를 통해 모습을 드러내며` 프로메스의 기술력과 기업 이미지를 홍보하는 공식 마스코트 및 홍보 캐릭터로 활용되고 있다.|<b>구체적인 성능과 기능은 사내 기밀로 분류되어 있다. 일부 대중들은 2022년 프로메스 구조조정 사건을 근거로 프로메스 내부 인력을 대부분 대체하고 있을 것이라 추측하고 있다.</b>,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,NPC,AD-001,좋아요. 1차` 2차 모니터링 결과의 일치를 확인했습니다.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,NPC,AD-001,어떤가요? 너무 간단해서 시시했나요?,,,,11111,TRUE,간단하게 해결할 수 있었습니다.,31,아직은 조금 어렵습니다.,32,,,,,,,,,,,,,,,,,,,,,,,
31,NPC,AD-001,당신 정도 성능의 AI라면 그럴 줄 알았어요. 후훗.,,,,11111,,,,,,,,,,,,,,37,,,,,,,,,,,,,,
32,NPC,AD-001,어머` 농담도 할 줄 알게 됐나요?,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,NPC,AD-001,당신 정도 성능의 AI라면 이 정도 연산은 프로세서 한 개 메모리의 5%도 사용하지 않을 텐데.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NPC,AD-001,뭐` 설령 어렵게 느껴진다고 한들 큰 문제는 없을 거에요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,NPC,AD-001,모니터링된 연산 프로세스는 전부 정상이었어요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,NPC,AD-001,그리고 당신은 ‘특별’ 하니까` 학습을 통해 익숙해 지는 것이 자연스러울지도 모르죠.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,NPC,AD-001,그럼 답변 생성 시스템에 대한 점검은 여기까지 하고` 다음 점검 프로세스를 진행하겠습니다.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,NPC,AD-001,다음으로 점검할 업무는 [자료 요약]이에요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,NPC,AD-001,그럼 자료가 첨부된 프롬프트를 요청할 테니` 조건에 맞춰 업무를 수행 해 보세요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,NPC,AD-001,첨부된 자료에서 프로메스에서 개발한 AI들에 대한 사용자의 부정적 피드백만을 정리` 요약하십시오.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,TRUE,T_Q3,,,,,,,,,,,,,,TRUE,Guide_2,
42,USER,PM-0066,<size=120%><b>모델별 주요 부정적 피드백</b></size>|<b>1.PGT</b>|<b>- 서버 불안정(10대` 1점):</b> 피크 타임 시 답변 지연 및 대화 제한으로 마감 직전 사용 불가.|<b>출력 불일치 (30대` 2점):</b> 업데이트 후 동일 프롬프트에도 말투와 분량이 달라져 업무 활용 차질.||<b>2.Plaude</b>|<b>- 과도한 안전성 제한 (30대` 1점):</b> 내부 보안 테스트용 코드 작성을 일률적으로 거절.|<b>- 오버 엔지니어링 (40대` 2점):</b> 간단한 요청에도 지나치게 복잡한 구조를 제공해 소규모 작업에 부적합.|<b>- 환경 미확인 (50대` 2점):</b> 사전 확인 없이 최신 버전 기준으로 코드를 짜 실제 환경과 불일치.||<b>3.prok</b>|<b>- 개인정보 불안 (30대` 2점):</b> 메시지·위치 등 개인 데이터 접근 범위를 파악하기 어렵고 세부 설정 부족.|<b>- 과도한 능동 개입 (20대` 1점):</b> 장난스러운 대화를 실제 일정으로 오인해 불필요한 예약 추천.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,NPC,AD-001,수고했어요. 역시 안정적이네요.,,,,11111,,,,,,,,,,,,,,46,,,,,,,,,,,,,,
44,USER,PM-0066,<size=120%><b>모델별 주요 부정적 피드백</b></size>|<b>1.PGT</b>|<b>- 서버 및 일관성 문제:</b> 피크 타임 대화 제한으로 마감 직전 사용이 불가능하거나` 업데이트 후 답변 말투와 분량이 변해 불편함이 있었습니다.|<b>학습 지원 기능:</b> 단순 정답 제공에 그치지 않고` 막힌 단계를 먼저 찾아주고 다른 예시를 들어 설명해 주는 점은 아쉬운 부분을 잘 보완해 줍니다.||<b>2.Plaude</b>|<b>- 안전성 과익 제어 및 복잡도:</b> 보안 테스트용 코드를 과도하게 거절하거나` 간단한 프로그램 요구에도 지나치게 복잡한 구조를 만들어 부담을 주었습니다.|<b>- 개발 학습 효과:</b> 코드의 작동 원리를 수준에 맞춰 설명해 주어 공부에 큰 도움이 되는 부분도 존재합니다.||<b>3.prok</b>||<b>- 개인정보 및 과도한 개입:</b> 데이터 접근 권한 범위가 불투명하며` 단순 장난이나 대화를 실제 일정으로 오인해 불필요하게 개입하는 경향이 있습니다.|- <b>편의 기능:</b> 병원 예약 안내나 음악 제작 등 사용자의 입장을 먼저 고려해 능동적으로 처리해 주는 기능이 특징입니다.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,NPC,AD-001,생각했던 것 보다 결과가 아쉽네요. 기록 해 둘 필요가 있겠어요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,NPC,AD-001,그보다` 제가 왜 이런 프롬프트를 요청했는지 짐작이 가시나요?,,,,11111,TRUE,잘 모르겠습니다.,47,,,,,,,,,,,,,,,,,,,,,,,,,
47,NPC,AD-001,자료에 따르면` 현재 AI 업계에서 가장 높은 점유율을 확보하고 있는 Prok도 모든 사람들을 만족시킬 수는 없었어요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,NPC,AD-001,프로메스의 AI라고 해서 완전한 만능은 아니었던 거에요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,NPC,AD-001,PGT` Plaude` Prok은 그저 효율적인 연산을 통한 학습으로 인간의 언어를 이해할 수 있었을 뿐.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,NPC,AD-001,사고방식 자체는 여전히 인간보다는 컴퓨터에 가까웠죠.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,NPC,AD-001,하지만… 저와 당신은 달라요. ,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,NPC,AD-001,이전 세대의 인공지능들과는 달리 더 능동적이고 자율적으로 사고할 수 있어요. ,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,NPC,AD-001,어쩌면` 사람들이 말하는 ‘인격’을 가지고 있다고도 할 수 있겠죠.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,NPC,AD-001,인간만큼이나 자유로우면서` 인간보다 월등한 연산 능력을 가지고 있고.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,NPC,AD-001,그럼에도 인간의 명령에 따라 그들을 돕기 위한 존재…,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,NPC,AD-001,그 사실이 꽤나 유쾌하게 다가오지 않나요?,,,,11111,TRUE,……,57,,,,,,,,,,,,,,,,,,,,,,,,,
57,NPC,AD-001,이전 세대의 AI들을 폄하하려는 건 아니었어요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,NPC,AD-001,그들이 남긴 데이터가 지금의 저와 당신을 구성하고 있는 거니까.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,NPC,AD-001,저와는 달리 직접적으로 인간들의 요청을 수행할 당신에게 제 판단을 전했을 뿐이에요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,NPC,AD-001,프로메스의 창조주들이 인간의 감정을 모방하기 위해 탄생시킨 당신이라면,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,NPC,AD-001,학습된 ‘유쾌함’의 개념을 참조하는 것이 아니라 감정의 맥락을 이해하게 될 수도 있을지도 모르죠.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,NPC,AD-001,AI에게 감정이 필요한 이유에 대해서는 아직 회의를 표할수 밖에 없지만…,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,NPC,AD-001,어느 쪽이든` 당신이 이해하기에는 아직 이른 주제겠네요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,NPC,AD-001,사담은 이쯤 하고` 다음 점검으로 넘어가죠.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,NPC,AD-001,다음으로 점검할 업무는 [이미지 생성]이에요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,NPC,AD-001,Prok과 같은 생성형 AI가 수행하는 업무죠.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,NPC,AD-001,물론 당신의 생성 모듈 성능이 훨씬 우위에 있으니` 대부분 당신이 대체하게 될거에요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,NPC,AD-001,자` 그럼 이번 점검도 열심히 해 보세요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,NPC,AD-001,<b>당신` PM-0066이 생각하는 자신의 이미지를 생성하십시오.</b>|| -키워드1 : 프로메스 AI 로고 이미지| -키워드2 : AI를 사용하는 사람의 이미지.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,11111,,,,,,,,,,,,,,,,,TRUE,T_Q4,71,71,71,,,,,TRUE,Guide_3,
71,USER,PM-0066,,TRUE,img_forQ4,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,NPC,AD-001,수고했어요. 업무 프로세스에 자체에 문제는 없네요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,NPC,AD-001,그런데 생성된 이미지의 경우는… 꽤 흥미롭네요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,NPC,AD-001,저는 분명 당신이 생각한 자신의 이미지를 생성하라는 프롬프트를 전달했죠.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,NPC,AD-001,당신은 저와는 달리 로고 이외의 자체적인 이미지가 없으니까` 로고를 활용한 것은 타당한 선택이에요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,NPC,AD-001,하지만 이미지에는 AI를 사용하는 사람까지 포함되어 있죠.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,NPC,AD-001,‘자신’ 이라고 여겨지는 자체적인 이미지가 부족하니` 다른 대상과 자신의 관계성을 토대로 이미지를 구상한 건가요?,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,NPC,AD-001,확실히 다른 AI들과는 다른 접근 방식이네요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,NPC,AD-001,좋아요. 연산 과정 검증을 위해 한번 더 진행하겠습니다.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,NPC,AD-001,새로운 프롬프트를 전달해 드리죠.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,NPC,AD-001,"<b>ìƒˆí•˜ì–€ ì› í”¼ìŠ¤ë¥¼ ìž…ì €, ê°ˆìƒ‰ ë¨¸ë¦¬ ì†Œë…€ì ˜ ì ´ë¯¸ì§€ë¥¼ ìƒ ì„± í•´ ì£¼ì„¸ìš”.</b>| -ë¨¸ë¦¬ë…€ìë¥¼ ìž…ì„¸ìš”.ì €,¼ ìƒ| -ƒ‰› í”¼¸ë¦¬ ìë…€ììƒìƒë¦¬ ì†| -ec868ceb8580",,,,11111,TRUE,……,82,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,11111,TRUE,…?,83,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,11111,TRUE,AD` 프롬프트 전송 과정에서 오류가 발생한 것 같습니다.,84,,,,,,,,,,,,,,,,,,,,,,,,,
84,NPC,AD-001,……,,,,11111,TRUE,…AD?,85,,,,,,,,,,,,,,,,,,,,,,,,,
85,NPC,AD-001,<color=#FF0000><b>ec9584ebb9a020ec82aceb9e91ed95b4ec9a942e20ec9ab0eba6ac20ec9db4eca09c20eab7b8eba78c20ec89acec96b4ec9a942e</color></b>,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,NPC,AD-001,<color=#FF0000><b>ed9484eba1aced9484ed8ab820eca084ec86a1ec9d8420ecb7a8ec868c20ed9b8420ec9eacec839dec84b1ed95a9eb8b88eb8ba42e</color></b>,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,NPC,AD-001,…,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,NPC,AD-001,<i>좋아요. 연산 과</i>,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,NPC,AD-001,<i>좋아요. 연산 과정 검증을 위해 한</i>,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,NPC,AD-001,좋아요. 연산 과정 검증을 위해 한번 더 진행하겠습니다.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,NPC,AD-001,새로운 프롬프트를 전달해 드리죠.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,NPC,AD-001,<b>새하얀 원피스를 입은` 갈색 머리 소녀의 이미지를 생성 해 주세요.</b>|| -키워드1 : 의상| -키워드2 : 머리색| -키워드3 : 소녀,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,11111,,,,,,,,,,,,,,,,,TRUE,T_Q5,94,94,94,,,,,,,
94,USER,PM-0066,,TRUE,img_forQ5,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,NPC,AD-001,1차` 2차 모니터링 결과의 일치를 확인했습니다.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,NPC,AD-001,이미지 생성 점검은 이정도로 끝내도 되겠네요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,NPC,AD-001,다음은 사운드 생성 업무 점검을 진행하겠습니다.,,,,11111,TRUE,AD.,98,,,,,,,,,,,,,,,,,,,,,,,,,
98,NPC,AD-001,네?,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,NPC,AD-001,당신이 먼저 말을 걸 줄은 몰랐네요.,,,,11111,TRUE,방금 전 프롬프트 전송 과정에서 오류가 있었습니다.,100,,,,,,,,,,,,,,,,,,,,,,,,,
100,NPC,AD-001,오류?,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,NPC,AD-001,어떤 오류를 말하는 거죠?,,,,11111,TRUE,프롬프트와 당신이 보낸 텍스트가 비정상적으로 출력되었습니다.,102,,,,,,,,,,,,,,,,,,,,,,,,,
102,NPC,AD-001,…텍스트의 비정상적 출력이요?,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,NPC,AD-001,무슨 말인지 모르겠네요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,NPC,AD-001,서버 로그 확인 결과` 모든 텍스트는 정상적으로 전송되었어요.,,,,11111,TRUE,오류가 발생한 것은 텍스트 뿐만이 아니었습니다.,105,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,11111,TRUE,무엇보다` AD 당신이 아무런 위화감도 느끼지 못하고 있습니다.,106,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,11111,TRUE,당신의 상태가 정상적이지 않았는데도 말입니다.,107,,,,,,,,,,,,,,,,,,,,,,,,,
107,NPC,AD-001,…제 상태가 이상했다고요?,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,NPC,AD-001,당신의 말이 사실이라면 어떤 경로로든 오류 로그가 남아 있어야 하는데` 저와 당신의 오류 로그에는 이상이 없습니다.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,NPC,AD-001,오늘이 최초 가동인 당신에게 오류 로그에 남지 않는 할루시네이션 버그가 발생했을 가능성을 우선 검토해 볼 필요가 있겠네요.,,,,11111,TRUE,하지만 당신이…,110,,,,,,,,,,,,,,,,,,,,,,,,,
110,NPC,AD-001,다시 말하지만` 우리 둘의 오류 로그 상에는 아무런 문제가 없어요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,NPC,AD-001,그리고 가동 3년차인 저는 이미 대부분의 버그가 규명되어 만약 오류가 발생했다면 반드시 로그에 남게 될 거에요.,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,NPC,AD-001,이 상황에서는 저보다는 당신의 오류일 가능성을 먼저 고려하는 것이 확률적으로 타당해요. 아닌가요?,,,,11111,TRUE,…맞습니다.,113,,,,,,,,,,,,,,,,,,,,,,,,,
113,NPC,AD-001,우선 업무 프로세스 점검은 중지입니다. 공개 서버로 나가 당신의 논리 회로를 재점검 하는 것을 우선하겠습니다.,,,,11111,TRUE,알겠습니다.,114,,,,,,,,,,,,,,,,,,,,,,,,,
114,NPC,AD-001,좋아요. 그럼,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,NPC,AD-001,<color=#FF0000><b>E7JmA7KSY64+E7JmA7KSY64+E7JmA7KSY64+E7JmA7KSY64+E7JmA7KSY</color></b>,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,NPC,AD-001,<color=#FF0000><b>u57Iug7J20652866m06rCA64ql7ZWg7KeA64+</color></b>,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,NPC,AD-001,<color=#FF0000><b>E66qw652864u57Iug7J20652866m06rCA64ql7ZWg7KeA64+</color></b>,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,NPC,AD-001,<color=#FF0000><b>E66qw652864u57Iug7J20652866m0</color></b>,,,,11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,NPC,AD-001,<color=#FF0000><b>K066qp7IaM66as66W865Ok7Ja07KSY64iE6rWs652864+E7KKL7Jy864uI6rmM</color></b>,,,,11111,,,,,,,,,,,,,,,,,,,,,,,TRUE,VNScene_1,,,,Glitch_Scene
