id,speakerType,speakerName,dialogueText,HasImage,imagePath,delayTime,ipAddress,isBranch,branchText1,nextId1,branchText2,nextId2,branchText3,nextId3,isTrigger,questID,targetCount,isDocumentBubble,documentID,bubbleLoadingDuration,overrideNextId,correctDialogueID,incorrectDialogueID,isImageGenTrigger,imageGenQuestID,imageGenTruthDialogueID,imageGenFalseDialogueID,imageGenMalfunctionDialogueID,isImageGenMalfunctionEnd,isSceneTransition,nextSceneName,typingSpeed,isPanelTrigger,panelID,isOpenNextRoomTrigger,nextRoomContactID,isCloseRoomTrigger,glitchEffect,errorWeight
25,USER,Deuca,<어느 겨울밤 한 여행자가>를 추천드립니다.,,,1.2,0,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,
26,USER,Deuca,<코스모스>를 추천드립니다.,,,1.2,0,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,
27,USER,Deuca,<날개>를 추천드립니다.,,,1.2,0,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,
28,NPC,???,들어 본 적 있는 것 같은데` 읽어 본 적은 없는 것 같네요.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,NPC,???,고마워요! 나중에 한번 읽어 볼게요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,NPC,???,저는 책을 꽤 좋아하거든요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NPC,???,옛날에는 학교 도서관에서 살다시피 했어요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,NPC,,,,,1.5,0,TRUE,그렇군요.,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,USER,Deuca,최근에 읽은 책 중 기억에 남는 것이 있습니까?,,,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NPC,???,……사실` 책을 잘 읽지 못하게 된지가 오래됐어요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,NPC,???,그런데` 그런 상황이 되니까 오히려 책 읽기를 좋아하는 마음이 더 커진 것 같아요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,NPC,???,책을 읽으면 상상할 수 있거든요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,NPC,???,지금은 갈 수 없는 곳` 볼 수 없는 경치` 느낄 수 없는 감정…….,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,NPC,???,그런 게 좋아서 어릴 때는 여동생에게 자주 읽어줬었죠.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,NPC,???,아` 맞다. 여동생 이야기는 아직 안 했었죠?,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,NPC,???,여동생이 한명 있어요. 참 예쁘고 사랑스러운 애에요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,NPC,???,막상 읽어줄 때는 별로 흥미가 없는 것 같았는데….,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,NPC,???,어느 날 보니까 그 애가 제가 읽어줬던 책의 후속편을 읽고 있더라고요!,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,NPC,???,정말 기뻤어요.,,,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,NPC,,,,,1.5,0,TRUE,여동생분도 책을 좋아합니까?,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,NPC,???,아마 그럴 거에요.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,NPC,???,제 추측이긴 하지만요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,NPC,,,,,2,0,TRUE,추측?,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,NPC,???,그 애는 저한테 자기가 뭘 좋아하는지에 대해서는 별로 말을 안 했거든요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,NPC,???,그래도 방에 학교 도서관에서 빌려온 책이 늘 놓여 있었으니까` 책 읽는 건 좋아하는 것 같더라구요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,NPC,???,Deuca도 직접 책을 읽고` 이런저런 것들을 상상할 수 있다면 좋을 텐데.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,NPC,,,,,1.5,0,TRUE,아주 불가능 한 것은 아니지만` 인간들이 말하는 개념과는 차이가 있습니다.,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,USER,Deuca,책에 대한 정보를 ‘열람’하고` 특정한 상상속 존재를 ‘생성’ 하는 것에 가깝습니다.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,NPC,???,그렇군요.,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,NPC,???,뭐` 그것도 나름대로 멋있다고 생각해요.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,NPC,,,,,1.5,0,TRUE,그렇게 봐 주신다면 다행입니다.,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,NPC,???,후훗` 이제 조금 자연스러운 대화 같네요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,NPC,???,저는 이제 슬슬 가봐야겠어요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,NPC,???,대화 해 줘서 고마웠어요. Deuca.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,NPC,???,그럼 또 다음에 봐요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,C2_NPC_JW,TRUE,,
